STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,leg_stat,Legal status,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2008,,569,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2009,,527,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2010,,565,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2011,,511,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2012,,373,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2013,,338,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2014,,401,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2015,,881,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2016,,976,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2017,,1033,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2018,,841,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2019,,735,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2020,,525,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2021,,702,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2022,,570,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AL,Albania,2023,,461,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2008,,5406,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2009,,5337,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2010,,5561,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2011,,5426,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2012,,5195,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2013,,5158,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2014,,4947,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2015,,4555,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2016,,4340,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2017,,4368,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2018,,4114,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2019,,4103,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2020,,3620,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2021,,3631,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2022,,3707,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,AT,Austria,2023,,3926,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BA,Bosnia and Herzegovina,2011,,1234,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BA,Bosnia and Herzegovina,2012,,1182,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BA,Bosnia and Herzegovina,2013,,1698,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BA,Bosnia and Herzegovina,2014,,1746,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BA,Bosnia and Herzegovina,2015,,1510,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BA,Bosnia and Herzegovina,2016,,1274,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BA,Bosnia and Herzegovina,2017,,1173,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BA,Bosnia and Herzegovina,2018,,1129,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BA,Bosnia and Herzegovina,2019,,1166,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BA,Bosnia and Herzegovina,2020,,822,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BA,Bosnia and Herzegovina,2021,,919,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BA,Bosnia and Herzegovina,2022,,925,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BA,Bosnia and Herzegovina,2023,,908,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BE,Belgium,2010,,19388,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BE,Belgium,2011,,20364,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BE,Belgium,2012,,27928,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BE,Belgium,2013,,21541,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BE,Belgium,2014,,17976,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BE,Belgium,2015,,26655,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BE,Belgium,2017,,46607,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BE,Belgium,2018,,45365,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BE,Belgium,2019,,38358,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BE,Belgium,2020,,27726,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2008,,2133,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2009,,2467,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2010,,2589,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2011,,2960,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2012,,2842,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2013,,2739,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2014,,2599,,,,,
dataflow,ESTAT:CRIM_JUST_SEX(1.0),Suspects and offenders by sex,A,Annual,PER_CNV,Convicted person,F,Females,NR,Number,BG,Bulgaria,2015,,2341,,,,,
