iccs,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Albania,2008,2.78
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Albania,2009,2.57
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Albania,2011,4.38
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Albania,2014,3.38
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Albania,2015,1.86
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Albania,2016,2.46
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Albania,2017,1.81
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Albania,2018,1.78
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Albania,2019,2.03
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Albania,2020,1.83
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Albania,2021,2.16
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Albania,2022,1.5
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2008,0.7
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2009,0.61
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2010,0.73
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2011,0.96
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2012,1.05
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2013,0.75
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2014,0.51
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2015,0.49
Intentional homicide,23/04/24 23:00:00,Annual,Per hundred thousand inhabitants,Austria,2016,0.56
