STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2008,,101,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2009,,113,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2010,,96,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2011,,84,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2012,,82,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2013,,89,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2014,,109,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2015,,121,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2016,,97,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2017,,93,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2018,,109,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2019,,86,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2020,,57,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2021,,63,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2022,,64,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AL,Albania,2023,,76,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AT,Austria,2008,,396,,,,,
dataflow,ESTAT:CRIM_PRIS_AGE(1.0),Prisoners by age and sex,A,Annual,ADULT,Adult,F,Females,NR,Number,AT,Austria,2009,,460,,,,,
