iccs,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Albania,2008,3.22
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Albania,2009,0.56
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Albania,2011,2.27
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Albania,2014,1.11
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Albania,2015,0.28
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Albania,2016,0.28
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Albania,2017,0.21
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Albania,2018,0.21
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Albania,2019,0.14
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Albania,2020,0.07
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Albania,2021,0.07
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Albania,2022,0.07
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2008,0.84
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2009,0.84
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2010,0.86
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2011,0.72
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2012,0.74
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2013,0.85
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2014,0.85
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2015,0.84
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2016,0.14
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2017,0.87
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2018,0.67
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2019,0.69
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2020,0.73
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2021,0.82
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Austria,2022,0.83
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Belgium,2008,0.94
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Belgium,2009,0.73
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Belgium,2010,0.81
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Belgium,2011,0.88
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Belgium,2012,1.12
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2008,1.35
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2009,1.38
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2010,1.42
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2011,1.14
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2012,0.98
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2013,0.91
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2014,0.97
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2015,1.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2016,1.01
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2017,0.93
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2018,1.08
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2019,1.0
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2020,0.92
Intentional homicide,Annual,F,Per hundred thousand inhabitants,Bulgaria,2021,0.9
