STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,iccs,International classification of crime for statistical purposes (ICCS),sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2008,,51,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2009,,9,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2010,,27,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2011,,32,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2012,,28,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2013,,22,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2014,,16,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2015,,4,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2016,,4,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2017,,3,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2018,,3,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2019,,2,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2020,,1,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2021,,1,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AL,Albania,2022,,1,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2008,,36,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2009,,36,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2010,,37,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2011,,31,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2012,,32,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,F,Females,NR,Number,AT,Austria,2013,,37,,,,,
